game_str,play_id,thr_ts,acq_ts,arr_ts,target_base,nth_throw
y1_d008_MCJ_RZQ,33,1063593,1062493,1064843,first,1
y1_d008_MCJ_RZQ,47,1502593,1501543,1503593,first,1
y1_d008_MCJ_RZQ,51,1734593,1733643,1735743,first,1
y1_d008_MCJ_RZQ,57,1915943,1914443,1916993,first,1
y1_d008_MCJ_RZQ,75,2566043,2565093,2567193,first,1
y1_d008_MCJ_RZQ,140,4859893,4858743,4860843,first,1
y1_d008_MCJ_RZQ,163,5885693,5885193,5886493,second,1
y1_d008_MCJ_RZQ,163,5887043,5886493,5887893,first,2
y1_d008_MCJ_RZQ,169,6057643,6056043,6058543,first,1
y1_d008_MCJ_RZQ,192,6791043,6789093,6791693,first,1
y1_d008_MCJ_RZQ,221,7921743,7921093,7922393,first,1
y1_d008_MCJ_RZQ,252,9201343,9200543,9202293,first,1
y1_d008_MCJ_RZQ,291,10985293,10984443,10986543,first,1
y1_d009_GEA_YJD,3,78141,76291,79241,first,1
y1_d009_GEA_YJD,9,172641,171891,173391,first,1
y1_d009_GEA_YJD,10,235641,233941,236391,first,1
y1_d009_GEA_YJD,40,1239091,1237991,1240141,first,1
y1_d009_GEA_YJD,85,2735091,2734191,2735791,first,1
y1_d009_GEA_YJD,158,5747758,5746658,5748608,first,1
y1_d009_GEA_YJD,169,6203758,6202958,6204808,first,1
y1_d009_GEA_YJD,175,6364358,6363708,6365108,first,1
y1_d009_GEA_YJD,235,8581908,8581408,8582408,first,1
y1_d009_GEA_YJD,236,8630208,8629358,8631058,first,1
y1_d009_GEA_YJD,238,8703008,8702308,8703908,first,1
y1_d009_GEA_YJD,243,8913658,8912908,8914558,first,1
y1_d009_GEA_YJD,247,9134508,9133758,9135008,first,1
y1_d009_GEA_YJD,255,9506308,9505408,9507558,first,1
y1_d010_DYE_RZQ,29,5250075,5248825,5251025,first,1
y1_d010_DYE_RZQ,39,5578975,5576875,5580175,first,1
y1_d010_DYE_RZQ,81,7246475,7246025,7246925,first,1
y1_d010_DYE_RZQ,98,7811575,7810975,7812625,first,1
y1_d010_DYE_RZQ,155,9866175,9864075,9867075,first,1
y1_d010_DYE_RZQ,164,10206625,10204475,10207325,first,1
y1_d010_DYE_RZQ,188,11111725,11111075,11112275,first,1
y1_d010_DYE_RZQ,192,11203125,11202225,11203975,second,1
y1_d010_DYE_RZQ,192,11204775,11203975,11205675,first,2
y1_d010_DYE_RZQ,214,11845775,11845075,11846425,second,1
y1_d010_DYE_RZQ,214,11846975,11846425,11847825,first,2
y1_d010_DYE_RZQ,236,223075,221625,224375,first,1
y1_d010_DYE_RZQ,267,1178525,1177175,1179825,first,1
y1_d010_DYE_RZQ,289,1793275,1792775,1794025,second,1
y1_d010_DYE_RZQ,289,1794525,1794025,1795375,first,2
y1_d010_DYE_RZQ,310,2592975,2591975,2594025,first,1
y1_d010_DYE_RZQ,313,2754825,2754025,2755825,first,1
y1_d010_GEA_YJD,7,145674,144524,146974,first,1
y1_d010_GEA_YJD,17,623766,623166,624866,first,1
y1_d010_GEA_YJD,29,1026216,1025416,1026966,first,1
y1_d010_GEA_YJD,36,1293616,1292716,1294066,first,1
y1_d010_GEA_YJD,54,1867816,1866416,1869066,first,1
y1_d010_GEA_YJD,65,2362516,2361916,2363466,first,1
y1_d010_GEA_YJD,73,2550566,2550416,2551166,first,1
y1_d010_GEA_YJD,90,3145416,3144616,3146016,first,1
y1_d010_GEA_YJD,93,3307066,3305816,3308016,first,1
y1_d010_GEA_YJD,149,5209216,5208416,5209666,first,1
y1_d010_GEA_YJD,157,5420266,5419766,5420716,second,1
y1_d010_GEA_YJD,157,5421266,5420716,5422116,first,2
y1_d010_GEA_YJD,181,6037666,6036916,6038716,first,1
y1_d011_DYE_RZQ,17,385673,385123,387173,first,1
y1_d011_DYE_RZQ,17,390473,388273,391373,first,2
y1_d011_DYE_RZQ,43,1388223,1387223,1389123,first,1
y1_d011_DYE_RZQ,71,2262323,2261473,2263123,first,1
y1_d011_DYE_RZQ,91,2896323,2895373,2897173,first,1
y1_d011_DYE_RZQ,102,3279173,3277773,3279923,first,1
y1_d011_DYE_RZQ,138,4368223,4367223,4369123,first,1
y1_d011_DYE_RZQ,151,4801023,4799073,4801923,first,1
y1_d011_DYE_RZQ,157,5036473,5034873,5037673,first,1
y1_d011_DYE_RZQ,168,5373723,5372823,5374623,first,1
y1_d011_DYE_RZQ,199,6391773,6390373,6393073,first,1
y1_d011_DYE_RZQ,261,8685523,8683973,8686173,second,1
y1_d011_DYE_RZQ,261,8686723,8686173,8687523,first,2
y1_d011_DYE_RZQ,263,8746323,8745173,8747373,first,1
y1_d011_GEA_YJD,6,227423,226373,228073,first,1
y1_d011_GEA_YJD,9,312823,312023,313673,first,1
y1_d011_GEA_YJD,12,506723,506123,508123,first,1
y1_d011_GEA_YJD,37,1297073,1296473,1297973,first,1
y1_d011_GEA_YJD,68,2260673,2259473,2261873,first,1
y1_d011_GEA_YJD,90,3044273,3043023,3045323,first,1
y1_d011_GEA_YJD,93,3142723,3141323,3145073,first,1
y1_d011_GEA_YJD,102,3539473,3539323,3539873,second,1
y1_d011_GEA_YJD,102,3540473,3539873,3541273,first,2
y1_d011_GEA_YJD,104,3697773,3696373,3699073,first,1
y1_d011_GEA_YJD,136,4818773,4818123,4819323,second,1
y1_d011_GEA_YJD,136,4819873,4819323,4820723,first,2
y1_d011_GEA_YJD,142,5121073,5118623,5121923,first,1
y1_d011_GEA_YJD,174,6158673,6158023,6159573,first,1
y1_d011_GEA_YJD,212,7442823,7441423,7443723,first,1
y1_d011_GEA_YJD,226,8048173,8047573,8048973,first,1
y1_d013_IXC_QEA,17,612375,611325,612925,first,1
y1_d013_IXC_QEA,21,707425,706225,707975,first,1
y1_d013_IXC_QEA,26,837375,836325,838375,first,1
y1_d013_IXC_QEA,46,1533525,1532775,1534275,first,1
y1_d013_IXC_QEA,58,1909225,1908375,1910475,first,1
y1_d013_IXC_QEA,62,1998875,1998125,1999725,first,1
y1_d013_IXC_QEA,69,2299375,2298825,2300275,first,1
y1_d013_IXC_QEA,87,3080975,3079625,3082275,first,1
y1_d013_IXC_QEA,89,3143525,3142275,3144375,first,1
y1_d013_IXC_QEA,92,3211925,3210475,3213125,first,1
y1_d013_IXC_QEA,96,3420125,3418625,3421375,first,1
y1_d013_IXC_QEA,158,5661975,5661475,5662475,second,1
y1_d013_IXC_QEA,158,5663025,5662475,5664025,first,2
y1_d013_IXC_QEA,164,6069882,6069282,6070632,first,1
y1_d013_IXC_QEA,185,6895832,6894782,6896582,home,1
y1_d013_IXC_QEA,185,6897282,6896582,6898032,first,2
y1_d013_IXC_QEA,185,6904132,6902782,6905682,first,3
y1_d013_IXC_QEA,201,7542682,7542132,7543032,second,1
y1_d013_IXC_QEA,201,7543732,7543032,7544632,first,2
y1_d013_IXC_QEA,229,8430732,8429282,8431432,first,1
y1_d013_IXC_QEA,239,8804532,8803332,8805632,first,1
y1_d013_IXC_QEA,252,9295182,9293682,9296282,first,1
y1_d014_IXC_QEA,8,199767,198767,200717,first,1
y1_d014_IXC_QEA,32,1030917,1030017,1032417,first,1
y1_d014_IXC_QEA,46,1589467,1587717,1590067,first,1
y1_d014_IXC_QEA,54,1951117,1950017,1952317,first,1
y1_d014_IXC_QEA,55,1985267,1983667,1986367,first,1
y1_d014_IXC_QEA,111,3736967,3735517,3737767,first,1
y1_d014_IXC_QEA,131,4371367,4370767,4372017,second,1
y1_d014_IXC_QEA,131,4372567,4372017,4373517,first,2
y1_d014_IXC_QEA,154,5360117,5359267,5360917,first,1
y1_d014_IXC_QEA,165,5784617,5784017,5785267,first,1
y1_d014_IXC_QEA,192,6615367,6614967,6615867,second,1
y1_d014_IXC_QEA,192,6616467,6615867,6617267,first,2
y1_d014_IXC_QEA,246,8653167,8651867,8654267,first,1
y1_d014_IXC_QEA,249,8855917,8855017,8856717,first,1
y1_d014_IXC_QEA,265,9563224,9562424,9563824,first,1
y1_d014_IXC_QEA,293,10404724,10403674,10406874,first,1
y1_d014_IXC_QEA,297,10514274,10512824,10514874,first,1
y1_d014_IXC_QEA,300,10704424,10703774,10705474,first,1
y1_d014_IXC_QEA,303,10815124,10813774,10815824,first,1
y1_d014_IXC_QEA,305,10882274,10880724,10883024,first,1
y1_d015_IXC_QEA,7,169474,168024,170374,first,1
y1_d015_IXC_QEA,17,521824,520774,522574,first,1
y1_d015_IXC_QEA,18,560924,560174,561574,first,1
y1_d015_IXC_QEA,49,1459424,1458074,1460424,first,1
y1_d015_IXC_QEA,63,2044924,2043724,2046174,first,1
y1_d015_IXC_QEA,68,2145874,2144474,2146824,first,1
y1_d015_IXC_QEA,90,2784824,2783024,2785824,first,1
y1_d015_IXC_QEA,93,2894024,2893424,2894474,second,1
y1_d015_IXC_QEA,93,2895174,2894474,2895924,first,2
y1_d015_IXC_QEA,96,3070274,3068674,3071624,first,1
y1_d015_IXC_QEA,108,3433274,3432174,3434074,first,1
y1_d015_IXC_QEA,117,3668624,3667874,3669924,first,1
y1_d015_IXC_QEA,129,4116174,4115574,4117324,first,1
y1_d015_IXC_QEA,138,4517574,4515424,4518874,first,1
y1_d015_IXC_QEA,148,4920624,4918874,4921624,first,1
y1_d015_IXC_QEA,153,5152174,5150224,5153724,first,1
y1_d015_IXC_QEA,156,5380051,5379001,5381201,first,1
y1_d015_IXC_QEA,178,6202101,6200901,6202851,first,1
y1_d015_IXC_QEA,189,6551151,6550601,6551751,second,1
y1_d015_IXC_QEA,189,6552301,6551751,6553151,first,2
y1_d015_IXC_QEA,207,7207651,7205851,7208601,first,1
y1_d015_IXC_QEA,214,7520751,7519001,7521501,first,1
y1_d015_IXC_QEA,272,9659651,9659151,9660051,second,1
y1_d015_IXC_QEA,272,9660651,9660051,9661551,first,2
y1_d016_OXG_QEA,24,723914,722064,724964,first,1
y1_d016_OXG_QEA,69,2097914,2096914,2099814,first,1
y1_d016_OXG_QEA,96,2935514,2935014,2936014,second,1
y1_d016_OXG_QEA,96,2936714,2936014,2937564,first,2
y1_d016_OXG_QEA,154,4974764,4973214,4975364,first,1
y1_d016_OXG_QEA,161,5236864,5235814,5237664,first,1
y1_d016_OXG_QEA,178,5629014,5627764,5629814,first,1
y1_d016_OXG_QEA,189,6027564,6026014,6028364,first,1
y1_d016_OXG_QEA,202,6474514,6472214,6475364,first,1
y1_d016_OXG_QEA,215,6952764,6951264,6953914,first,1
y1_d016_OXG_QEA,225,7373914,7372614,7374614,first,1
y1_d016_OXG_QEA,231,7645364,7644564,7646064,first,1
y1_d016_OXG_QEA,238,7806914,7805864,7807614,first,1
y1_d016_OXG_QEA,248,8127414,8126114,8128314,first,1
y1_d016_OXG_QEA,256,8460864,8460464,8461464,second,1
y1_d016_OXG_QEA,256,8462214,8461464,8463014,first,2
y1_d016_OXG_QEA,266,8850864,8849664,8851614,first,1
y1_d016_OXG_QEA,284,9574014,9572814,9575264,first,1
y1_d016_OXG_QEA,296,10190664,10189314,10191264,first,1
y1_d016_OXG_QEA,309,10722164,10719864,10722714,first,1
y1_d017_OXG_QEA,5,70167,69243,71091,first,1
y1_d017_OXG_QEA,17,612836,611912,613298,first,1
y1_d017_OXG_QEA,44,1498557,1497567,1499547,first,1
y1_d017_OXG_QEA,64,2171164,2169745,2171857,first,1
y1_d017_OXG_QEA,70,2307190,2306530,2307883,first,1
y1_d017_OXG_QEA,79,2678902,2678077,2679496,second,1
y1_d017_OXG_QEA,79,2680123,2679496,2680882,first,2
y1_d017_OXG_QEA,109,3647189,3645935,3648575,first,1
y1_d017_OXG_QEA,115,3887364,3886605,3888156,first,1
y1_d017_OXG_QEA,122,4192812,4191195,4193373,first,1
y1_d017_OXG_QEA,131,4500108,4498755,4501296,first,1
y1_d017_OXG_QEA,147,4922245,4921717,4923169,first,1
y1_d017_OXG_QEA,165,5426650,5426287,5427376,first,1
y1_d017_OXG_QEA,174,5848325,5846708,5849084,first,1
y1_d017_OXG_QEA,255,8982899,8981480,8984054,first,1
y1_d017_OXG_QEA,259,9096551,9095231,9097574,first,1
y1_d017_OXG_QEA,274,9697349,9695534,9698570,first,1
y1_d018_OXG_QEA,4,82467,81817,83067,first,1
y1_d018_OXG_QEA,8,160117,158567,161317,first,1
y1_d018_OXG_QEA,15,434267,433217,435367,first,1
y1_d018_OXG_QEA,39,1045167,1044417,1046267,first,1
y1_d018_OXG_QEA,73,2114667,2113567,2115717,first,1
y1_d018_OXG_QEA,83,2284317,2282867,2284967,first,1
y1_d018_OXG_QEA,134,3844967,3844217,3845667,second,1
y1_d018_OXG_QEA,134,3846267,3845667,3847167,first,2
y1_d018_OXG_QEA,139,3937117,3934967,3937767,first,1
y1_d018_OXG_QEA,154,4440917,4439117,4441467,first,1
y1_d018_OXG_QEA,160,4700967,4699767,4702117,first,1
y1_d018_OXG_QEA,169,4942967,4942867,4943667,first,1
y1_d018_OXG_QEA,177,5191067,5190217,5192617,first,1
y1_d018_OXG_QEA,182,5347367,5346017,5348567,first,1
y1_d018_OXG_QEA,218,6535117,6533867,6536067,first,1
y1_d018_OXG_QEA,221,6627567,6626467,6628517,first,1
y1_d018_OXG_QEA,228,6920767,6919667,6921467,first,1
y1_d018_OXG_QEA,263,7999117,7998267,7999817,first,1
y1_d018_OXG_QEA,273,8309817,8309017,8310817,first,1
y1_d018_OXG_QEA,324,9817967,9817317,9818917,first,1
y1_d018_OXG_QEA,338,10389017,10386467,10390117,first,1
y1_d018_OXG_QEA,341,10439467,10438467,10440667,first,1
y1_d018_OXG_QEA,347,10732617,10731867,10733317,first,1
y1_d019_JFU_YJD,19,543793,543243,544843,first,1
y1_d019_JFU_YJD,35,905843,905043,906743,first,1
y1_d019_JFU_YJD,48,1568271,1567171,1569221,first,1
y1_d019_JFU_YJD,65,2122879,2121679,2124379,first,1
y1_d019_JFU_YJD,74,2433729,2432679,2434479,first,1
y1_d019_JFU_YJD,96,3154916,3153316,3156066,first,1
y1_d019_JFU_YJD,116,3801116,3799416,3802316,first,1
y1_d019_JFU_YJD,141,4549816,4549166,4550416,first,1
y1_d019_JFU_YJD,190,6246066,6244766,6246766,first,1
y1_d019_JFU_YJD,219,7296966,7296066,7297466,first,1
y1_d019_JFU_YJD,243,8145166,8144366,8146016,first,1
y1_d019_JFU_YJD,248,8290416,8289316,8291416,first,1
y1_d019_JFU_YJD,253,8494566,8493916,8495816,first,1
y1_d019_JFU_YJD,261,8702016,8701266,8702716,second,1
y1_d019_JFU_YJD,261,8703216,8702716,8704266,first,2
y1_d019_OXG_QEA,10,261755,260699,262448,first,1
y1_d019_OXG_QEA,71,2011780,2010625,2013067,first,1
y1_d019_OXG_QEA,74,2181631,2181103,2182225,first,1
y1_d019_OXG_QEA,129,3834834,3833778,3836319,first,1
y1_d019_OXG_QEA,146,4491303,4489983,4492458,first,1
y1_d019_OXG_QEA,152,4604031,4602810,4605252,first,1
y1_d019_OXG_QEA,162,4940698,4939345,4941556,first,1
y1_d019_OXG_QEA,197,6076757,6076031,6077219,first,1
y1_d019_OXG_QEA,264,8508793,8507308,8509717,first,1
y1_d019_OXG_QEA,285,9305018,9303533,9306107,first,1
y1_d019_OXG_QEA,335,11081212,11079925,11082037,first,1
y1_d019_OXG_QEA,341,11326930,11325709,11327920,first,1
y1_d020_JFU_YJD,12,256852,256052,257302,second,1
y1_d020_JFU_YJD,12,257852,257302,258802,first,2
y1_d020_JFU_YJD,21,563102,562002,564252,first,1
y1_d020_JFU_YJD,61,2289386,2288486,2289886,second,1
y1_d020_JFU_YJD,61,2290436,2289886,2291386,first,2
y1_d020_JFU_YJD,67,2537036,2536186,2537986,first,1
y1_d020_JFU_YJD,131,4538636,4537586,4539536,first,1
y1_d020_JFU_YJD,132,4572686,4571836,4573086,first,1
y1_d020_JFU_YJD,151,5500836,5500386,5501436,second,1
y1_d020_JFU_YJD,151,5502086,5501436,5502986,first,2
y1_d020_JFU_YJD,190,7298336,7297436,7299236,first,1
y1_d020_JFU_YJD,198,7552286,7551386,7553136,first,1
y1_d020_JFU_YJD,228,8709136,8708486,8709936,first,1
y1_d021_JFU_YJD,4,53848,52698,54648,first,1
y1_d021_JFU_YJD,9,137448,136198,139248,first,1
y1_d021_JFU_YJD,35,1422536,1420536,1423686,first,1
y1_d021_JFU_YJD,59,2205136,2203586,2206386,first,1
y1_d021_JFU_YJD,68,2544336,2543786,2544836,second,1
y1_d021_JFU_YJD,68,2545486,2544836,2546286,first,2
y1_d021_JFU_YJD,74,2770786,2769936,2772236,first,1
y1_d021_JFU_YJD,89,3301736,3300886,3302936,first,1
y1_d021_JFU_YJD,154,5278186,5276686,5279336,first,1
y1_d021_JFU_YJD,187,6480836,6479936,6481886,first,1
y1_d021_JFU_YJD,196,6779036,6778236,6779986,first,1
y1_d021_JFU_YJD,214,7295886,7294836,7296736,first,1
y1_d021_JFU_YJD,230,7793386,7791136,7794536,first,1
y1_d021_JFU_YJD,259,8799736,8798786,8800336,second,1
y1_d021_JFU_YJD,259,8800836,8800336,8801886,first,2
y1_d021_JFU_YJD,272,9255086,9253886,9256186,first,1
y1_d021_JFU_YJD,280,9454986,9454286,9455686,first,1
y1_d022_AKX_YJD,35,1117112,1115962,1118462,first,1
y1_d022_AKX_YJD,82,2601312,2599162,2602362,first,1
y1_d022_AKX_YJD,112,3453812,3452562,3454562,first,1
y1_d022_AKX_YJD,138,4324162,4323712,4324662,second,1
y1_d022_AKX_YJD,138,4325162,4324662,4326062,first,2
y1_d022_AKX_YJD,145,4539662,4538312,4540712,first,1
y1_d022_AKX_YJD,187,5994762,5993862,5995912,first,1
y1_d022_AKX_YJD,192,6128162,6127512,6128712,first,1
y1_d022_AKX_YJD,254,8407162,8406062,8408262,first,1
y1_d022_AKX_YJD,267,8832112,8830812,8833312,first,1
y1_d022_AKX_YJD,274,9029762,9028712,9030662,first,1
y1_d023_AKX_YJD,7,3906467,3905675,3907490,first,1
y1_d023_AKX_YJD,8,4048004,4047344,4049324,first,1
y1_d023_AKX_YJD,18,4316624,4315898,4317317,first,1
y1_d023_AKX_YJD,45,5362593,5361702,5363814,first,1
y1_d023_AKX_YJD,70,6309364,6308638,6310057,second,1
y1_d023_AKX_YJD,70,6310618,6310057,6311476,first,2
y1_d023_AKX_YJD,78,6610259,6608543,6611051,first,1
y1_d023_AKX_YJD,115,8034111,8033319,8034903,first,1
y1_d023_AKX_YJD,124,8371734,8370744,8372757,first,1
y1_d023_AKX_YJD,133,8755327,8754271,8756218,first,1
y1_d023_AKX_YJD,153,9541553,9540959,9542114,first,1
y1_d023_AKX_YJD,160,9733976,9732953,9734570,first,1
y1_d023_AKX_YJD,210,897920,897260,898646,first,1
y1_d023_AKX_YJD,219,1222838,1221320,1223795,first,1
y1_d023_AKX_YJD,223,1306427,1305635,1307120,first,1
y1_d023_AKX_YJD,245,2192775,2192214,2193237,second,1
